"","Country","Year","Sector","Gas","Unit","Emissions","EU","lag","percent_change","Population","avg_pop","avg_emissions"
"1","Germany","1850","Total excluding LULUCF","CO2","MtCO₂e",15.3,1,0,0,33717866,63622716.2662722,546.669230769231
"2","Germany","1851","Total excluding LULUCF","CO2","MtCO₂e",17,1,15.3,11.1,33970411,63622716.2662722,546.669230769231
"3","Germany","1852","Total excluding LULUCF","CO2","MtCO₂e",19.3,1,17,13.5,34214795,63622716.2662722,546.669230769231
"4","Germany","1853","Total excluding LULUCF","CO2","MtCO₂e",20.9,1,19.3,8.3,34450874,63622716.2662722,546.669230769231
"5","Germany","1854","Total excluding LULUCF","CO2","MtCO₂e",24.6,1,20.9,17.7,34688580,63622716.2662722,546.669230769231
"6","Germany","1855","Total excluding LULUCF","CO2","MtCO₂e",28.8,1,24.6,17.1,34927923,63622716.2662722,546.669230769231
"7","Germany","1856","Total excluding LULUCF","CO2","MtCO₂e",31.2,1,28.8,8.3,35168915,63622716.2662722,546.669230769231
"8","Germany","1857","Total excluding LULUCF","CO2","MtCO₂e",33.2,1,31.2,6.4,35411567,63622716.2662722,546.669230769231
"9","Germany","1858","Total excluding LULUCF","CO2","MtCO₂e",35.9,1,33.2,8.1,35655890,63622716.2662722,546.669230769231
"10","Germany","1859","Total excluding LULUCF","CO2","MtCO₂e",34.1,1,35.9,-5,35915420,63622716.2662722,546.669230769231
"11","Germany","1860","Total excluding LULUCF","CO2","MtCO₂e",36.7,1,34.1,7.6,36190385,63622716.2662722,546.669230769231
"12","Germany","1861","Total excluding LULUCF","CO2","MtCO₂e",41.7,1,36.7,13.6,36481013,63622716.2662722,546.669230769231
"13","Germany","1862","Total excluding LULUCF","CO2","MtCO₂e",45.9,1,41.7,10.1,36787538,63622716.2662722,546.669230769231
"14","Germany","1863","Total excluding LULUCF","CO2","MtCO₂e",49.8,1,45.9,8.5,37110194,63622716.2662722,546.669230769231
"15","Germany","1864","Total excluding LULUCF","CO2","MtCO₂e",57.1,1,49.8,14.7,37435677,63622716.2662722,546.669230769231
"16","Germany","1865","Total excluding LULUCF","CO2","MtCO₂e",64,1,57.1,12.1,37764012,63622716.2662722,546.669230769231
"17","Germany","1866","Total excluding LULUCF","CO2","MtCO₂e",63.4,1,64,-0.9,38095224,63622716.2662722,546.669230769231
"18","Germany","1867","Total excluding LULUCF","CO2","MtCO₂e",69.7,1,63.4,9.9,38429338,63622716.2662722,546.669230769231
"19","Germany","1868","Total excluding LULUCF","CO2","MtCO₂e",75,1,69.7,7.6,38766380,63622716.2662722,546.669230769231
"20","Germany","1869","Total excluding LULUCF","CO2","MtCO₂e",78.2,1,75,4.3,39121267,63622716.2662722,546.669230769231
"21","Germany","1870","Total excluding LULUCF","CO2","MtCO₂e",77.2,1,78.2,-1.3,39494319,63622716.2662722,546.669230769231
